Reporter	normalized log2 ratio
618389	-0.442
618390	0.13
618391	0.034
618392	-0.159
618393	0.042
618394	0.118
618395	-0.042
618396	0.11
618397	0.202
618398	0.376
618399	0.148
618400	-1.536
618401	-0.271
618402	0.198
618403	-1.788
618404	-0.056
618405	0.295
618406	0.21
618407	0.076
618408	0.05
618409	0.205
618410	0.483
618411	0.241
618412	0.218
618413	0.223
618414	0.055
618415	0.132
618416	-0.094
618417	0.082
618418	0.461
618419	-0.027
618420	-0.154
618421	-0.342
618422	0.045
618423	0.157
618424	0.138
618425	0.024
618426	0.112
618427	-0.373
618428	-0.309
618429	0.031
618430	0.089
618431	-0.216
618432	0.238
618433	-0.338
618434	0.102
618435	-0.157
618436	0.075
618437	0.075
618438	0.279
618439	-0.191
618440	0.112
618441	-0.094
618442	0.083
618443	-0.2
618444	-0.053
618445	-0.239
618446	0.263
618447	-0.065
618448	0.357
618449	0.188
618450	0.646
618451	-0.044
618452	0.193
618453	-0.012
618454	-0.031
618455	-0.073
618456	0.101
618457	-0.083
618458	-0.049
618459	-0.779
618460	-0.023
618461	-0.071
618462	-0.248
618463	0.084
618464	0.024
618465	-0.27
618466	0.168
618467	0.122
618468	-0.116
618469	-0.3
618470	0.087
618471	0.182
618472	-0.316
618473	-0.018
618474	0.148
618475	-0.08
618476	0.067
618477	-0.265
618478	-0.141
618479	0.048
618480	0.08
618481	-0.24
618482	0.07
618483	-0.088
618484	0.099
618485	0.091
618486	-1.707
618487	-0.279
618488	-0.362
618489	-0.213
618490	0.184
618491	-0.42
618492	0.101
618493	-0.232
618494	0.569
618495	-0.06
618496	0.204
618497	-0.165
618498	-0.451
618499	0.004
618500	0.102
618501	0.064
618502	0.056
618503	0.245
618504	-0.112
618505	0.117
618506	0.151
618507	-0.16
618508	0.128
618509	-0.398
618510	0.028
618511	0.165
618512	-2.269
618513	-0.028
618514	0.027
618515	-0.303
618516	-0.073
618517	-0.381
618518	0.215
618519	0.159
618520	-0.001
618521	0.312
618522	-0.031
618523	0.1
618524	0.039
618525	-0.228
618526	-0.229
618527	0.105
618528	0.115
618529	-0.007
618530	-0.139
618531	0.042
618532	-0.167
618533	-0.163
618534	0.861
618535	-0.127
618536	-0.18
618549	-0.744
618550	0.024
618551	1.623
618552	-0.11
618553	0.317
618554	0.261
618555	0.303
618556	0.033
618557	-0.209
618558	0.753
618559	0.177
618560	0.373
618561	0.021
618562	0.087
618563	-0.003
618564	0.069
618565	0.005
618566	-0.264
618567	0.168
618568	-0.387
618569	0.555
618570	-0.089
618571	-0.11
618572	-0.013
618573	0.249
618574	0.08
618575	0.034
618576	0.137
618577	0.188
618578	0.259
618579	0.017
