reporter_name,gene_name,gene_entrez_id
618400,gntU,2847760
618402,yiiD,948387
618408,cfa,944811
618416,mdoH,945624
618446,ydhX,947308
618460,chiA,947837
618479,yghA,947478
618494,insD_v3,947517
618497,blc,948670
618549,hisF,946516
618550,yehD,946619
618551,fliA,948824
618552,yjeK,948662
618553,yhfS,947884
618554,cyaA,947755
618555,ybhT,945365
618556,nrfG,948592
618557,psiF,945040
618558,sstT,947605
618559,djlB,945245
618560,glf,945235
618561,yaiX_v2,4056039
618562,ansB,947454
618563,yqeJ,947328
618564,yehE,946615
618565,recJ,947367
618566,cbrB,948231
618567,glvC,2847721
618568,artJ,948981
618569,paaY,945965
618570,ymfJ,945718
618571,gabP,948049
618572,yjiW,949088
618573,gmm,946559
618574,creC,948609
618575,yfdR,946834
618576,yraH,947658
618577,wcaL,946565
618578,wcaB,946573
618579,dicC,946120
618580,ybgQ,946537
618604,gntU,2847760
618606,yiiD,948387
618612,cfa,944811
618620,mdoH,945624
618650,ydhX,947308
618664,chiA,947837
618683,yghA,947478
618698,insD_v3,947517
618701,blc,948670
618753,hisF,946516
618754,yehD,946619
618755,fliA,948824
618756,yjeK,948662
618757,yhfS,947884
618758,cyaA,947755
618759,ybhT,945365
618760,nrfG,948592
618761,psiF,945040
618762,sstT,947605
618763,djlB,945245
618764,glf,945235
618765,yaiX_v2,4056039
618766,ansB,947454
618767,yqeJ,947328
618768,yehE,946615
618769,recJ,947367
618770,cbrB,948231
618771,glvC,2847721
618772,artJ,948981
618773,paaY,945965
618774,ymfJ,945718
618775,gabP,948049
618776,yjiW,949088
618777,gmm,946559
618778,creC,948609
618779,yfdR,946834
618780,yraH,947658
618781,wcaL,946565
618782,wcaB,946573
618783,dicC,946120
618784,ybgQ,946537
618804,recR,945100
618821,proY,945050
618825,yjhC,948808
618832,ptrB,946358
618833,caiB,948997
618835,phnJ,948606
618837,yjeM,948679
618858,ynfA,946125
618865,pyrD,945556
618876,ydfD,946102
618908,rluE,945701
618911,ydjY,946248
618957,sufB,945753
618958,ydaV,945926
618959,asr,945103
618960,rrsH,948332
618961,xapB,946868
618962,intA,946160
618963,ytfT,948743
618964,ybcS,947539
618965,ykfA,949004
618966,ybhD,944869
618967,yfdT,946836
618968,yjgL,948776
618969,ydaT,945924
618970,ypaA,1450280
618971,paaD,945959
618972,rihC,944796
618973,ysaB,1450292
618974,yffL,946922
618975,dicA,946241
618976,ybhH,945375
618977,ydfA,946082
618978,rydC,5061508
618979,ybdO,945216
618980,yaaW,944771
618981,yegL,946602
618982,yjgJ,948775
618983,yjiR,949089
618984,yagN,945349
618985,yeeS,946514
618986,yefM,946542
618987,elbA,945729
618988,yagH,944949
618989,ydiP,945095
618990,yjiA,948882
618991,proL,946320
618993,micC,2847713
618994,ybhU,5061512
619008,recR,945100
619025,proY,945050
619029,yjhC,948808
619036,ptrB,946358
619037,caiB,948997
619039,phnJ,948606
619041,yjeM,948679
619062,ynfA,946125
619069,pyrD,945556
619080,ydfD,946102
619112,rluE,945701
619115,ydjY,946248
619161,sufB,945753
619162,ydaV,945926
619163,asr,945103
619164,rrsH,948332
619165,xapB,946868
619166,intA,946160
619167,ytfT,948743
619168,ybcS,947539
619169,ykfA,949004
619170,ybhD,944869
619171,yfdT,946836
619172,yjgL,948776
619173,ydaT,945924
619174,ypaA,1450280
619175,paaD,945959
619176,rihC,944796
619177,ysaB,1450292
619178,yffL,946922
619179,dicA,946241
619180,ybhH,945375
619181,ydfA,946082
619182,rydC,5061508
619183,ybdO,945216
619184,yaaW,944771
619185,yegL,946602
619186,yjgJ,948775
619187,yjiR,949089
619188,yagN,945349
619189,yeeS,946514
619190,yefM,946542
619191,elbA,945729
619192,yagH,944949
